user,word,timestamp,word_type
Madhu,boat,16-03-2024 09:57,1k_most_used
Madhu,time,16-03-2024 09:58,3_science_LS2
Madhu,bird,16-03-2024 10:02,3_science_LS1
Madhu,list,16-03-2024 10:02,3_science_LS1
Madhu,into,16-03-2024 10:03,3_science_LS1
Madhu,home,16-03-2024 10:03,1k_most_used
Madhu,know,16-03-2024 10:04,3_science_LS1
Madhu,said,16-03-2024 10:04,3_science_LS1
Madhu,mass,16-03-2024 10:07,3_science_LS1
Madhu,noun,16-03-2024 10:08,1k_most_used
Madhu,help,16-03-2024 10:09,3_science_LS1
Madhu,love,16-03-2024 10:12,3_science_LS1
Madhu,four,16-03-2024 10:21,1k_most_used
Madhu,complex,19-03-2024 02:14,3_science_LS1
Madhu,hew,26-03-2024 12:12,3_science_LS1
Madhu,is,26-03-2024 13:01,3_science_LS1
Madhu,yo,26-03-2024 13:01,3_science_LS1
Madhu,it,26-03-2024 13:01,3_science_LS1
Madhu,on,26-03-2024 13:01,3_science_LS1
Madhu,me,26-03-2024 13:01,3_science_LS1
Madhu,ha,26-03-2024 13:01,3_science_LS1
Madhu,pi,26-03-2024 13:02,3_science_LS1
Madhu,om,26-03-2024 13:02,3_science_LS1
Madhu,if,26-03-2024 13:02,3_science_LS1
Madhu,an,26-03-2024 13:02,3_science_LS1
Madhu,id,26-03-2024 13:03,3_science_LS1
Madhu,os,26-03-2024 13:03,3_science_LS1
Madhu,by,26-03-2024 13:03,3_science_LS1
Madhu,so,26-03-2024 13:03,3_science_LS1
Madhu,oh,26-03-2024 13:03,3_science_LS1
Madhu,do,26-03-2024 13:03,3_science_LS1
Madhu,my,26-03-2024 13:03,3_science_LS1
Madhu,in,26-03-2024 13:03,3_science_LS1
Madhu,he,26-03-2024 13:04,3_science_LS1
Madhu,at,26-03-2024 13:04,3_science_LS1
Madhu,be,26-03-2024 13:04,3_science_LS1
Madhu,or,26-03-2024 13:04,3_science_LS1
Madhu,us,26-03-2024 13:05,3_science_LS1
Madhu,to,26-03-2024 13:05,3_science_LS1
Madhu,we,26-03-2024 13:05,3_science_LS1
Madhu,no,26-03-2024 13:05,3_science_LS1
Madhu,up,26-03-2024 13:05,3_science_LS1
Madhu,as,26-03-2024 13:05,3_science_LS1
Madhu,go,26-03-2024 13:05,3_science_LS1
Madhu,of,26-03-2024 13:06,3_science_LS1
Madhu,ah,26-03-2024 13:06,3_science_LS1
Madhu,am,26-03-2024 13:08,3_science_LS2
Madhu,us,26-03-2024 13:08,3_science_LS1
Madhu,at,26-03-2024 13:08,3_science_LS1
Madhu,an,26-03-2024 13:08,3_science_LS1
Madhu,me,26-03-2024 13:08,3_science_LS1
Madhu,be,26-03-2024 13:08,3_science_LS1
Madhu,we,26-03-2024 13:08,3_science_LS1
Madhu,go,26-03-2024 13:08,3_science_LS1
Madhu,is,26-03-2024 13:09,3_science_LS1
Madhu,wy,26-03-2024 13:09,3_science_LS2
Madhu,to,26-03-2024 13:09,3_science_LS1
Madhu,of,26-03-2024 13:09,3_science_LS1
Madhu,do,26-03-2024 13:09,3_science_LS1
Madhu,as,26-03-2024 13:09,3_science_LS1
Madhu,up,26-03-2024 13:10,3_science_LS1
Madhu,if,26-03-2024 13:10,3_science_LS1
Madhu,by,26-03-2024 13:10,3_science_LS1
Madhu,so,26-03-2024 13:10,3_science_LS1
Madhu,he,26-03-2024 13:10,3_science_LS1
Madhu,in,26-03-2024 13:10,3_science_LS1
Madhu,my,26-03-2024 13:10,3_science_LS1
Madhu,or,26-03-2024 13:10,3_science_LS1
Madhu,it,26-03-2024 13:10,3_science_LS1
Madhu,on,26-03-2024 13:10,3_science_LS1
Madhu,did,26-03-2024 13:11,3_science_LS1
Madhu,lay,26-03-2024 13:17,1k_most_used
Madhu,all,26-03-2024 13:19,3_science_LS1
Madhu,hit,26-03-2024 13:21,1k_most_used
Madhu,see,26-03-2024 13:21,3_science_LS1
Madhu,red,26-03-2024 13:21,3_science_LS1
